D prob percentile
0.01 0.0 0.0
0.02 0.0 0.0
0.03 0.0 0.0
0.04 0.0 0.0
0.05 0.0 0.0
0.060000000000000005 0.0 0.0
0.06999999999999999 0.0 0.0
0.08 0.0 0.0
0.09 0.0 0.0
0.09999999999999999 0.0 0.0
0.11 0.0 0.0
0.12 0.0 0.0
0.13 0.0 0.0
0.14 0.0 0.0
0.15000000000000002 0.0 0.0
0.16 0.0 0.0
0.17 0.0 0.0
0.18000000000000002 0.0 0.0
0.19 0.0 0.0
0.2 0.0 0.0
0.21000000000000002 0.0 0.0
0.22 0.0 0.0
0.23 0.0 0.0
0.24000000000000002 0.0 0.0
0.25 0.0 0.0
0.26 0.0 0.0
0.27 0.0 0.0
0.28 0.0 0.0
0.29000000000000004 0.0 0.0
0.3 0.0 0.0
0.31 0.0 0.0
0.32 0.0 0.0
0.33 0.0 0.0
0.34 0.0 0.0
0.35000000000000003 0.0 0.0
0.36000000000000004 1.929783859693e-311 2.437196e-317
0.37 1.9069727915239286e-292 2.7420374756053996e-298
0.38 5.307073197166975e-275 8.612502714429177e-281
0.39 6.020009826278854e-259 1.0939825602005707e-264
0.4 3.846310668856123e-244 7.772163108076944e-250
0.41000000000000003 1.8387181792185811e-230 4.105420550358047e-236
0.42000000000000004 8.445329462874076e-218 2.0718011856085183e-223
0.43 4.6482729291648684e-206 1.246556776574688e-211
0.44 3.728573949703331e-195 1.0881373127274427e-200
0.45 5.186671176314585e-185 1.6405576426645419e-190
0.46 1.460831893311736e-175 4.989950805378145e-181
0.47000000000000003 9.566490671010582e-167 3.517590465306435e-172
0.48000000000000004 1.6486380447110085e-158 6.506883881112165e-164
0.49 8.355511428086187e-151 3.5308062119829385e-156
0.5 1.3762257641795567e-143 6.212499860632816e-149
0.51 8.060851919666212e-137 3.879423876238104e-142
0.52 1.821210256053315e-130 9.327982047790433e-136
0.53 1.7083559036442398e-124 9.297473945583215e-130
0.54 7.112128242740642e-119 4.1071221084352535e-124
0.55 1.3961342913232569e-113 8.544241065572722e-119
0.56 1.3654956965517789e-108 8.846200494477637e-114
0.5700000000000001 6.996725381222468e-104 4.793358037560258e-109
0.5800000000000001 1.9662731835473514e-99 1.423196908974412e-104
0.59 3.160329991904043e-95 2.414679964528106e-100
0.6 3.0186944360051757e-91 2.432814031656185e-96
0.61 1.7749176842487579e-87 1.5076793207723604e-92
0.62 6.634897750357768e-84 5.9361118049263094e-89
0.63 1.624359119720698e-80 1.5296685041122905e-85
0.64 2.6766612359028056e-77 2.65141688855011e-82
0.65 3.044472840718788e-74 3.1702777162636646e-79
0.66 2.446465019082091e-71 2.676478392063142e-76
0.67 1.4190843097016468e-68 1.6301132932260798e-73
0.68 6.061152108365099e-66 7.306349423143655e-71
0.6900000000000001 1.941682530400686e-63 2.454792411860365e-68
0.7000000000000001 4.745625491812874e-61 6.288996161952554e-66
0.7100000000000001 8.990515796107432e-59 1.2482108553056934e-63
0.72 1.3398240252983447e-56 1.9477568853020415e-61
0.73 1.5923257418587242e-54 2.4225606379329667e-59
0.74 1.5285358089408596e-52 2.43248508072008e-57
0.75 1.1993340662821663e-50 1.9953847245170413e-55
0.76 7.777495559954409e-49 1.3521419640202585e-53
0.77 4.2118111882267226e-47 7.64778592724912e-52
0.78 1.9232120918736315e-45 3.645614633019517e-50
0.79 7.47209068898486e-44 1.4779478729253034e-48
0.8 2.4910921594056822e-42 5.13902910290362e-47
0.81 7.183128306329724e-41 1.544842987967993e-45
0.8200000000000001 1.8048526913844563e-39 4.044839508723748e-44
0.8300000000000001 3.9792645701342645e-38 9.288909493553926e-43
0.8400000000000001 7.748904785690085e-37 1.883312337900506e-41
0.85 1.340991492017257e-35 3.3919542298003843e-40
0.86 2.0743021034388546e-34 5.458379793195945e-39
0.87 2.883645900330551e-33 7.89098553583934e-38
0.88 3.621273067363007e-32 1.0301057651746222e-36
0.89 4.127877823592365e-31 1.2201578545102499e-35
0.9 4.290574363165675e-30 1.3173899555622722e-34
0.91 4.0840586852873994e-29 1.3021028124332435e-33
0.92 3.5745128831265023e-28 1.1829671695734319e-32
0.93 2.8877054536159586e-27 9.916598971047848e-32
0.9400000000000001 2.161083524812792e-26 7.698218457090407e-31
0.9500000000000001 1.5033459633053041e-25 5.553213973148906e-30
0.9600000000000001 9.752616925271645e-25 3.734517450020586e-29
0.97 5.918197314730771e-24 2.3485222753706945e-28
0.98 3.369183862538821e-23 1.3851245975281005e-27
0.99 1.804355172352155e-22 7.68271708106277e-27
1.0 9.11411646819851e-22 4.0179877072377315e-26
1.01 4.352887224962366e-21 1.9863138044319625e-25
1.02 1.970293835863436e-20 9.30369877843451e-25
1.03 8.47118949782214e-20 4.138124254273271e-24
1.04 3.4668762621033847e-19 1.7515183322207837e-23
1.05 1.3532811887444046e-18 7.06914195662187e-23
1.06 5.0480754570005615e-18 2.725801371187532e-22
1.07 1.8027837227442537e-17 1.005984618806994e-21
1.08 6.174406231867003e-17 3.5597054767739365e-21
1.09 2.0314136247752943e-16 1.2097128914843008e-20
1.1 6.43038470747596e-16 3.954412482825407e-20
1.11 1.9613845247057004e-15 1.2452794113281321e-19
1.12 5.772941590969665e-15 3.7832079495871273e-19
1.1300000000000001 1.6418481166854046e-14 1.1103422082086398e-18
1.1400000000000001 4.5178918848473346e-14 3.1522757792065898e-18
1.1500000000000001 1.2043305371333713e-13 8.66770359635467e-18
1.1600000000000001 3.1137105308125325e-13 2.3110737499793282e-17
1.17 7.816747414675492e-13 5.982019257322058e-17
1.18 1.9074801895257673e-12 1.5047991292789642e-16
1.19 4.529290968444584e-12 3.682626845837242e-16
1.2 1.0475315591130256e-11 8.776420482027017e-16
1.21 2.3620145661857414e-11 2.038783214283228e-15
1.22 5.197215822986361e-11 4.620769081812738e-15
1.23 1.1168864474768225e-10 1.0226473673101433e-14
1.24 2.3461662315050394e-10 2.2119168706292866e-14
1.25 4.821323294385698e-10 4.679404423141185e-14
