D prob percentile
0.01 0.0 0.0
0.02 0.0 0.0
0.03 0.0 0.0
0.04 0.0 0.0
0.05 0.0 0.0
0.060000000000000005 0.0 0.0
0.06999999999999999 0.0 0.0
0.08 0.0 0.0
0.09 0.0 0.0
0.09999999999999999 0.0 0.0
0.11 0.0 0.0
0.12 0.0 0.0
0.13 0.0 0.0
0.14 0.0 0.0
0.15000000000000002 0.0 0.0
0.16 0.0 0.0
0.17 0.0 0.0
0.18000000000000002 0.0 0.0
0.19 0.0 0.0
0.2 0.0 0.0
0.21000000000000002 0.0 0.0
0.22 0.0 0.0
0.23 0.0 0.0
0.24000000000000002 0.0 0.0
0.25 0.0 0.0
0.26 0.0 0.0
0.27 0.0 0.0
0.28 0.0 0.0
0.29000000000000004 0.0 0.0
0.3 0.0 0.0
0.31 0.0 0.0
0.32 0.0 0.0
0.33 0.0 0.0
0.34 0.0 0.0
0.35000000000000003 0.0 0.0
0.36000000000000004 0.0 0.0
0.37 8.7945276e-317 6.27e-322
0.38 9.087425976882878e-297 7.445906169134345e-302
0.39 2.2039837928982924e-278 2.054126077150443e-283
0.4 1.8401559552360997e-261 1.9344532816710916e-266
0.41000000000000003 7.400990993685493e-246 8.709331346865525e-251
0.42000000000000004 1.9271495551775774e-231 2.521354449396794e-236
0.43 4.2176431860267835e-218 6.097301939278163e-223
0.44 9.774329855860133e-206 1.5527300602258238e-210
0.45 2.944655534050041e-194 5.114674807889715e-199
0.46 1.384165320780822e-183 2.6169771811313203e-188
0.47000000000000003 1.1947742203643652e-173 2.4489589399395835e-178
0.48000000000000004 2.1907929983040315e-164 4.850873712416562e-169
0.49 9.724363304479127e-156 2.318515960063053e-160
0.5 1.1749938162356418e-147 3.007982051051818e-152
0.51 4.295560205681594e-140 1.177740807945036e-144
0.52 5.226653500577617e-133 1.5313309677418205e-137
0.53 2.3071895446871042e-126 7.209119062949572e-131
0.54 3.994898303200627e-120 1.3289147735985556e-124
0.55 2.9124452897536458e-114 1.0298401103765103e-118
0.56 9.534659138742896e-109 3.578856556921461e-113
0.5700000000000001 1.4863134750902082e-103 5.914951382111397e-108
0.5800000000000001 1.1638429165617042e-98 4.905348888463184e-103
0.59 4.806917662583248e-94 2.1436800059253087e-98
0.6 1.0950380645761667e-89 5.162560213822844e-94
0.61 1.4333622322952333e-85 7.138291253529483e-90
0.62 1.119315540974807e-81 5.8841211585383746e-86
0.63 5.397564898658563e-78 2.9931556854814777e-82
0.64 1.659091219903897e-74 9.699163492627144e-79
0.65 3.3470311458805057e-71 2.0615855277660152e-75
0.66 4.5526945592944005e-68 2.9528702253246664e-72
0.67 4.2805607159523026e-65 2.921975350102433e-69
0.68 2.8467067605316248e-62 2.0440506371988103e-66
0.6900000000000001 1.3678420059191083e-59 1.0326106649169016e-63
0.7000000000000001 4.843297075186254e-57 3.842173061094899e-61
0.7100000000000001 1.2870552788019601e-54 1.072396781167554e-58
0.72 2.610802550521544e-52 2.283734719427737e-56
0.73 4.106954668436586e-50 3.7696319045815164e-54
0.74 5.083990632186592e-48 4.8942756259577666e-52
0.75 5.020639308461985e-46 5.066963261046586e-50
0.76 4.005984139876821e-44 4.236494707647204e-48
0.77 2.6134243428213934e-42 2.8948303705388922e-46
0.78 1.4095258118171565e-40 1.6346038781030285e-44
0.79 6.350301122740119e-39 7.706804403017576e-43
0.8 2.4131132760047405e-37 3.0634886052570945e-41
0.81 7.804720521614507e-36 1.0360396628132437e-39
0.8200000000000001 2.166795101191765e-34 3.006375681953232e-38
0.8300000000000001 5.204903202674664e-33 7.54526339288348e-37
0.8400000000000001 1.0898860063741242e-31 1.650111209494721e-35
0.85 2.0033816055346387e-30 3.166681246863394e-34
0.86 3.25399259040887e-29 5.367944008666237e-33
0.87 4.699204596438595e-28 8.087471937089715e-32
0.88 6.068931876941369e-27 1.0893011836115364e-30
0.89 7.047856840941951e-26 1.318846558038073e-29
0.9 7.397710481066464e-25 1.4427599608360777e-28
0.91 7.0524935644859e-24 1.4330484203813557e-27
0.92 6.13454857413654e-23 1.2983379750313542e-26
0.93 4.889835432232039e-22 1.0775950013796577e-25
0.9400000000000001 3.5863271287974505e-21 8.22697403571852e-25
0.9500000000000001 2.4295387589835717e-20 5.799881637614014e-24
0.9600000000000001 1.525803272612099e-19 3.789469791439432e-23
0.97 8.913959376750338e-19 2.302597229514075e-22
0.98 4.860224284701609e-18 1.3054404442194718e-21
0.99 2.48082566245587e-17 6.926909955269996e-21
1.0 1.1889413136946943e-16 3.450153464044679e-20
1.01 5.364785686387892e-16 1.6175592049131898e-19
1.02 2.2851425362596675e-15 7.157295022676322e-19
1.03 9.211401709300972e-15 2.9963323686280714e-18
1.04 3.522224990658132e-14 1.1896345567938524e-17
1.05 1.2804510621323774e-13 4.4894996101771564e-17
1.06 4.434964532655881e-13 1.6138845754634578e-16
1.07 1.4664908899238166e-12 5.537586381213856e-16
1.08 4.6383987871415665e-12 1.8171133692172893e-15
1.09 1.4058949913800218e-11 5.7128924186966345e-15
1.1 4.0906451849827994e-11 1.7238641199529056e-14
1.11 1.1444755822299206e-10 5.000886508143966e-14
1.12 3.0837868617492177e-10 1.3969394088383792e-13
1.1300000000000001 8.014568238581101e-10 3.763152847322067e-13
1.1400000000000001 2.011953940609786e-09 9.79030579888325e-13
1.1500000000000001 4.885322299048583e-09 2.4632477851262978e-12
1.1600000000000001 1.1488766311557506e-08 6.001464387686131e-12
1.17 2.619993899726002e-08 1.4177102355670726e-11
1.18 5.800841344602382e-08 3.251007729445403e-11
1.19 1.2483584876684285e-07 7.245104321079529e-11
1.2 2.6140685797016373e-07 1.5708730769376227e-10
1.21 5.331810620471401e-07 3.317111541306043e-10
1.22 1.0603357638590704e-06 6.828642663149651e-10
1.23 2.0579512133431004e-06 1.3717594064639264e-09
1.24 3.9016096596971145e-06 2.6914525933420156e-09
1.25 7.231805510091019e-06 5.162257869209102e-09
1.26 1.311610168221997e-05 9.687229461240588e-09
