D prob percentile
0.001 0.0 0.0
0.002 0.0 0.0
0.003 0.0 0.0
0.004 0.0 0.0
0.005 0.0 0.0
0.006 0.0 0.0
0.007 0.0 0.0
0.008 0.0 0.0
0.009000000000000001 0.0 0.0
0.010000000000000002 0.0 0.0
0.011 0.0 0.0
0.012 0.0 0.0
0.013000000000000001 0.0 0.0
0.014000000000000002 0.0 0.0
0.015 0.0 0.0
0.016 0.0 0.0
0.017 0.0 0.0
0.018000000000000002 0.0 0.0
0.019000000000000003 0.0 0.0
0.02 0.0 0.0
0.021 0.0 0.0
0.022000000000000002 0.0 0.0
0.023 0.0 0.0
0.024 0.0 0.0
0.025 0.0 0.0
0.026000000000000002 0.0 0.0
0.027000000000000003 0.0 0.0
0.028 0.0 0.0
0.029 0.0 0.0
0.030000000000000002 0.0 0.0
0.031 0.0 0.0
0.032 0.0 0.0
0.033 0.0 0.0
0.034 0.0 0.0
0.035 0.0 0.0
0.036000000000000004 0.0 0.0
0.037000000000000005 0.0 0.0
0.038 0.0 0.0
0.039 0.0 0.0
0.04 0.0 0.0
0.041 0.0 0.0
0.042 0.0 0.0
0.043000000000000003 0.0 0.0
0.044000000000000004 0.0 0.0
0.045 0.0 0.0
0.046 0.0 0.0
0.047 0.0 0.0
0.048 0.0 0.0
0.049 0.0 0.0
0.05 0.0 0.0
0.051000000000000004 0.0 0.0
0.052000000000000005 0.0 0.0
0.053000000000000005 0.0 0.0
0.054 0.0 0.0
0.055 0.0 0.0
0.056 0.0 0.0
0.057 0.0 0.0
0.058 0.0 0.0
0.059000000000000004 0.0 0.0
0.060000000000000005 0.0 0.0
0.061 0.0 0.0
0.062 0.0 0.0
0.063 0.0 0.0
0.064 0.0 0.0
0.065 0.0 0.0
0.066 0.0 0.0
0.067 0.0 0.0
0.068 0.0 0.0
0.069 0.0 0.0
0.07 0.0 0.0
0.07100000000000001 0.0 0.0
0.07200000000000001 0.0 0.0
0.07300000000000001 0.0 0.0
0.074 0.0 0.0
0.075 0.0 0.0
0.076 0.0 0.0
0.077 0.0 0.0
0.078 0.0 0.0
0.079 0.0 0.0
0.08 0.0 0.0
0.081 0.0 0.0
0.082 0.0 0.0
0.083 0.0 0.0
0.084 0.0 0.0
0.085 0.0 0.0
0.08600000000000001 0.0 0.0
0.08700000000000001 0.0 0.0
0.08800000000000001 0.0 0.0
0.089 0.0 0.0
0.09 0.0 0.0
0.091 0.0 0.0
0.092 0.0 0.0
0.093 0.0 0.0
0.094 0.0 0.0
0.095 0.0 0.0
0.096 0.0 0.0
0.097 0.0 0.0
0.098 0.0 0.0
0.099 0.0 0.0
0.1 0.0 0.0
0.101 0.0 0.0
0.10200000000000001 0.0 0.0
0.10300000000000001 0.0 0.0
0.10400000000000001 0.0 0.0
0.10500000000000001 0.0 0.0
0.106 0.0 0.0
0.107 0.0 0.0
0.108 0.0 0.0
0.109 0.0 0.0
0.11 0.0 0.0
0.111 0.0 0.0
0.112 0.0 0.0
0.113 0.0 0.0
0.114 0.0 0.0
0.115 0.0 0.0
0.116 0.0 0.0
0.117 0.0 0.0
0.11800000000000001 0.0 0.0
0.11900000000000001 0.0 0.0
0.12000000000000001 0.0 0.0
0.121 0.0 0.0
0.122 0.0 0.0
0.123 0.0 0.0
0.124 0.0 0.0
0.125 0.0 0.0
0.126 0.0 0.0
0.127 0.0 0.0
0.128 0.0 0.0
0.129 0.0 0.0
0.13 0.0 0.0
0.131 0.0 0.0
0.132 0.0 0.0
0.133 0.0 0.0
0.134 0.0 0.0
0.135 0.0 0.0
0.136 0.0 0.0
0.137 0.0 0.0
0.138 0.0 0.0
0.139 0.0 0.0
0.14 0.0 0.0
0.14100000000000001 0.0 0.0
0.14200000000000002 0.0 0.0
0.14300000000000002 0.0 0.0
0.14400000000000002 0.0 0.0
0.14500000000000002 0.0 0.0
0.146 0.0 0.0
0.147 0.0 0.0
0.148 0.0 0.0
0.149 0.0 0.0
0.15 0.0 0.0
0.151 0.0 0.0
0.152 0.0 0.0
0.153 0.0 0.0
0.154 0.0 0.0
0.155 0.0 0.0
0.156 0.0 0.0
0.157 0.0 0.0
0.158 0.0 0.0
0.159 0.0 0.0
0.16 0.0 0.0
0.161 0.0 0.0
0.162 0.0 0.0
0.163 0.0 0.0
0.164 0.0 0.0
0.165 0.0 0.0
0.166 0.0 0.0
0.167 0.0 0.0
0.168 0.0 0.0
0.169 0.0 0.0
0.17 0.0 0.0
0.171 0.0 0.0
0.17200000000000001 5.3374e-320 0.0
0.17300000000000001 1.978604185e-314 1.279455e-317
0.17400000000000002 5.66476753213803e-309 3.813513795516e-312
0.17500000000000002 1.260552449727297e-303 8.828647460345504e-307
0.17600000000000002 2.1936090208628724e-298 1.5973547540962011e-301
0.177 3.003050775909506e-293 2.2721605655032222e-296
0.178 3.2529808624908783e-288 2.555780545934123e-291
0.179 2.8038391762452e-283 2.2861169635907853e-286
0.18 1.9335012570742996e-278 1.6350708919340194e-281
0.181 1.0723945960568653e-273 9.400322571824675e-277
0.182 4.80858084120992e-269 4.366725512172157e-272
0.183 1.7518674556130636e-264 1.6472188866099612e-267
0.184 5.210940352848563e-260 5.070407152951274e-263
0.185 1.2714833966612299e-255 1.279631211510456e-258
0.186 2.5566828881766444e-251 2.6599542331691884e-254
0.187 4.255503913088611e-247 4.5745896359887877e-250
0.188 5.88865089355617e-243 6.537418244866888e-246
0.189 6.803025952440837e-239 7.796003820323527e-242
0.19 6.588560694405418e-235 7.789949012295008e-238
0.191 5.370479604594711e-231 6.548328064640723e-234
0.192 3.6987470975389034e-227 4.648884728290474e-230
0.193 2.1605018975829326e-223 2.7979072216725654e-226
0.194 1.0742575669844443e-219 1.4327930842384798e-222
0.195 4.563189943253023e-216 6.265502898605908e-219
0.196 1.6616756922924466e-212 2.347825898806776e-215
0.197 5.204904355613767e-209 7.564642142247573e-212
0.198 1.4070202811518546e-205 2.1026141298171407e-208
0.199 3.293091614677166e-202 5.057989356443243e-205
0.2 6.693933546380065e-199 1.0563438331136486e-201
0.201 1.185375771454863e-195 1.9211808663723484e-198
0.202 1.8340722537261734e-192 3.051820171064514e-195
0.203 2.4866693514958297e-189 4.246550064010482e-192
0.20400000000000001 2.9626755767481454e-186 5.190710291665493e-189
0.20500000000000002 3.1103310349394894e-183 5.588893947735436e-186
0.20600000000000002 2.8850097870299665e-180 5.314940669138796e-183
0.20700000000000002 2.370491629322545e-177 4.475895347356727e-180
