D prob percentile
0.01 0.0 0.0
0.02 0.0 0.0
0.03 0.0 0.0
0.04 0.0 0.0
0.05 0.0 0.0
0.060000000000000005 0.0 0.0
0.06999999999999999 0.0 0.0
0.08 0.0 0.0
0.09 0.0 0.0
0.09999999999999999 0.0 0.0
0.11 0.0 0.0
0.12 0.0 0.0
0.13 0.0 0.0
0.14 0.0 0.0
0.15000000000000002 0.0 0.0
0.16 0.0 0.0
0.17 0.0 0.0
0.18000000000000002 0.0 0.0
0.19 0.0 0.0
0.2 0.0 0.0
0.21000000000000002 0.0 0.0
0.22 0.0 0.0
0.23 0.0 0.0
0.24000000000000002 0.0 0.0
0.25 0.0 0.0
0.26 0.0 0.0
0.27 0.0 0.0
0.28 0.0 0.0
0.29000000000000004 1.0225665996537763e-307 2.84164258956e-312
0.3 1.5781814316513328e-282 5.232817347977692e-287
0.31 6.13389528657967e-260 2.3904258301670375e-264
0.32 1.2899525881641092e-239 5.831211923868883e-244
0.33 2.8063989883828536e-221 1.4547336111675153e-225
0.34 1.0970229168100212e-204 6.455493234429896e-209
0.35000000000000003 1.2358148721698812e-189 8.183365074942952e-194
0.36000000000000004 6.022015482185034e-176 4.4531045524193995e-180
0.37 1.802355155485302e-163 1.4784989930088183e-167
0.38 4.48961653496183e-152 4.062177700718511e-156
0.39 1.2123999219346203e-141 1.2039914205386546e-145
0.4 4.4706683264531075e-132 4.8522849363549235e-136
0.41000000000000003 2.7553803444964728e-123 3.2568112892389566e-127
0.42000000000000004 3.3901919464022305e-115 4.350610922604813e-119
0.43 9.738824870364074e-108 1.3534073222310535e-111
0.44 7.501479791764208e-101 1.1264655639025213e-104
0.45 1.7516136858983379e-94 2.836965999530123e-98
0.46 1.3827618910620878e-88 2.4116829152312268e-92
0.47000000000000003 4.0670512413707234e-83 7.628066681883457e-87
0.48000000000000004 4.861074029864469e-78 9.792793186188229e-82
0.49 2.5518384055597754e-73 5.5156887056800635e-77
0.5 6.308434996461736e-69 1.461552150119585e-72
0.51 7.819194240822972e-65 1.9400132042451118e-68
0.52 5.1416405776534767e-61 1.3649597562638012e-64
0.53 1.8874762454558942e-57 5.35692959819368e-61
0.54 4.0506528845182165e-54 1.228083417282337e-57
0.55 5.2987569982706095e-51 1.7147701014498502e-54
0.56 4.388271433936718e-48 1.5146847235379895e-51
0.5700000000000001 2.381506677373784e-45 8.76096164017471e-49
0.5800000000000001 8.739337714161581e-43 3.423975066363062e-46
0.59 2.2315334929298053e-40 9.304549011608145e-44
0.6 4.0698559178721783e-38 1.8047037587676758e-41
0.61 5.429865878537474e-36 2.5589040697170068e-39
0.62 5.416819958322078e-34 2.7111827502298057e-37
0.63 4.122569057328952e-32 2.1900404940798354e-35
0.64 2.438207373812941e-30 1.3738968968375422e-33
0.65 1.139774041006141e-28 6.808326737294443e-32
0.66 4.277539735371222e-27 2.707086073025622e-30
0.67 1.307517556316563e-25 8.761926338452912e-29
0.68 3.2987364291846525e-24 2.339433700461831e-27
0.6900000000000001 6.953818141586268e-23 5.216433690229821e-26
0.7000000000000001 1.2388052823902814e-21 9.824847642750888e-25
0.7100000000000001 1.8847311925636376e-20 1.5795688752668643e-23
0.72 2.4728101313704005e-19 2.1890153817151673e-22
0.73 2.8232510175516543e-18 2.6386833424259377e-21
0.74 2.8285746480708764e-17 2.789999430977205e-20
0.75 2.5062832038803047e-16 2.607907162230631e-19
0.76 1.978270931477877e-15 2.170739731455664e-18
0.77 1.400445502749591e-14 1.619907256713737e-17
0.78 8.947534494380742e-14 1.0906326363132549e-16
0.79 5.189734392947422e-13 6.663888431836856e-16
0.8 2.7477018034960723e-12 3.7155481204387594e-15
0.81 1.3347448504927295e-11 1.900169060075339e-14
0.8200000000000001 5.977338077370587e-11 8.956103709388602e-14
0.8300000000000001 2.4787981223174617e-10 3.9079846417503396e-13
0.8400000000000001 9.55910482422678e-10 1.5853266367998572e-12
0.85 3.4414398225646616e-09 6.002431917765491e-12
0.86 1.1609345843694014e-08 2.1290318747380348e-11
0.87 3.682297535136534e-08 7.098858182506058e-11
0.88 1.1017441857165462e-07 2.2323351713734636e-10
0.89 3.1189997921713585e-07 6.640834539578854e-10
0.9 8.378479507179105e-07 1.8742463041401207e-09
0.91 2.1414064851307786e-06 5.032060854247285e-09
0.92 5.22055886800394e-06 1.2885044836231464e-08
0.93 1.2168993603568969e-05 3.1541927054928716e-08
0.9400000000000001 2.718241648388146e-05 7.39833970096625e-08
0.9500000000000001 5.830922541490955e-05 1.6662864828387756e-07
0.9600000000000001 0.00012035667060432535 3.610836259803429e-07
0.97 0.000239500161365374 7.542810029209205e-07
0.98 0.0004602752456777958 1.521614529005319e-06
0.99 0.0008557290233749931 2.9693289888686706e-06
1.0 0.0015415314156706306 5.614230418006761e-06
1.01 0.0026947537789226666 1.0300514291468204e-05
1.02 0.004577773710004613 1.8364862200736644e-05
1.03 0.007567335398346775 3.186154543313168e-05
1.04 0.01218818352521739 5.385868082468262e-05
1.05 0.019149926448701105 8.881462702806838e-05
1.06 0.02938493722650409 0.00014303951441185824
1.07 0.04408426651955492 0.00022524098217360244
1.08 0.06472783847858124 0.00034714551254452585
1.09 0.09310475336831577 0.0005241777432958107
1.1 0.13131943860962328 0.0007761705135947146
1.11 0.18177974908997552 0.0011280690756719964
1.12 0.2471639446659185 0.001610584925382388
1.1300000000000001 0.33036473632109836 0.002260749103686158
1.1400000000000001 0.4344102027928311 0.0031223124955110045
1.1500000000000001 0.562363197533466 0.004245942238178161
1.1600000000000001 0.7172027193874276 0.005689169128192178
1.17 0.901692425177043 0.007516050754639169
1.18 1.1182428451739979 0.009796528452648891
1.19 1.3687747815693876 0.012605472164206943
1.2 1.6545917317004293 0.016021424749895177
1.21 1.976268945199135 0.02012507489883565
1.22 2.3335659195514045 0.0249975042040066
1.23 2.725367837526888 0.030718267987409138
1.24 3.1496597707757776 0.03736338007758729
1.25 3.6035355623905074 0.045003278265982695
