D prob percentile
0.001 0.0 0.0
0.002 0.0 0.0
0.003 0.0 0.0
0.004 0.0 0.0
0.005 0.0 0.0
0.006 0.0 0.0
0.007 0.0 0.0
0.008 0.0 0.0
0.009000000000000001 0.0 0.0
0.010000000000000002 0.0 0.0
0.011 0.0 0.0
0.012 0.0 0.0
0.013000000000000001 0.0 0.0
0.014000000000000002 0.0 0.0
0.015 0.0 0.0
0.016 0.0 0.0
0.017 0.0 0.0
0.018000000000000002 0.0 0.0
0.019000000000000003 0.0 0.0
0.02 0.0 0.0
0.021 0.0 0.0
0.022000000000000002 0.0 0.0
0.023 0.0 0.0
0.024 0.0 0.0
0.025 0.0 0.0
0.026000000000000002 0.0 0.0
0.027000000000000003 0.0 0.0
0.028 0.0 0.0
0.029 0.0 0.0
0.030000000000000002 0.0 0.0
0.031 0.0 0.0
0.032 0.0 0.0
0.033 0.0 0.0
0.034 0.0 0.0
0.035 0.0 0.0
0.036000000000000004 0.0 0.0
0.037000000000000005 0.0 0.0
0.038 0.0 0.0
0.039 0.0 0.0
0.04 0.0 0.0
0.041 0.0 0.0
0.042 0.0 0.0
0.043000000000000003 0.0 0.0
0.044000000000000004 0.0 0.0
0.045 0.0 0.0
0.046 0.0 0.0
0.047 0.0 0.0
0.048 0.0 0.0
0.049 0.0 0.0
0.05 0.0 0.0
0.051000000000000004 0.0 0.0
0.052000000000000005 0.0 0.0
0.053000000000000005 0.0 0.0
0.054 0.0 0.0
0.055 0.0 0.0
0.056 0.0 0.0
0.057 0.0 0.0
0.058 0.0 0.0
0.059000000000000004 0.0 0.0
0.060000000000000005 0.0 0.0
0.061 0.0 0.0
0.062 0.0 0.0
0.063 0.0 0.0
0.064 0.0 0.0
0.065 0.0 0.0
0.066 0.0 0.0
0.067 0.0 0.0
0.068 0.0 0.0
0.069 0.0 0.0
0.07 0.0 0.0
0.07100000000000001 0.0 0.0
0.07200000000000001 0.0 0.0
0.07300000000000001 0.0 0.0
0.074 0.0 0.0
0.075 0.0 0.0
0.076 0.0 0.0
0.077 0.0 0.0
0.078 0.0 0.0
0.079 0.0 0.0
0.08 0.0 0.0
0.081 0.0 0.0
0.082 0.0 0.0
0.083 0.0 0.0
0.084 0.0 0.0
0.085 0.0 0.0
0.08600000000000001 0.0 0.0
0.08700000000000001 0.0 0.0
0.08800000000000001 0.0 0.0
0.089 0.0 0.0
0.09 0.0 0.0
0.091 0.0 0.0
0.092 0.0 0.0
0.093 0.0 0.0
0.094 0.0 0.0
0.095 0.0 0.0
0.096 0.0 0.0
0.097 0.0 0.0
0.098 0.0 0.0
0.099 0.0 0.0
0.1 0.0 0.0
0.101 0.0 0.0
0.10200000000000001 0.0 0.0
0.10300000000000001 0.0 0.0
0.10400000000000001 0.0 0.0
0.10500000000000001 0.0 0.0
0.106 0.0 0.0
0.107 0.0 0.0
0.108 0.0 0.0
0.109 0.0 0.0
0.11 0.0 0.0
0.111 0.0 0.0
0.112 0.0 0.0
0.113 0.0 0.0
0.114 0.0 0.0
0.115 0.0 0.0
0.116 0.0 0.0
0.117 0.0 0.0
0.11800000000000001 0.0 0.0
0.11900000000000001 0.0 0.0
0.12000000000000001 0.0 0.0
0.121 0.0 0.0
0.122 0.0 0.0
0.123 0.0 0.0
0.124 0.0 0.0
0.125 0.0 0.0
0.126 0.0 0.0
0.127 0.0 0.0
0.128 0.0 0.0
0.129 0.0 0.0
0.13 0.0 0.0
0.131 0.0 0.0
0.132 0.0 0.0
0.133 0.0 0.0
0.134 0.0 0.0
0.135 0.0 0.0
0.136 0.0 0.0
0.137 0.0 0.0
0.138 0.0 0.0
0.139 0.0 0.0
0.14 0.0 0.0
0.14100000000000001 0.0 0.0
0.14200000000000002 0.0 0.0
0.14300000000000002 0.0 0.0
0.14400000000000002 0.0 0.0
0.14500000000000002 0.0 0.0
0.146 0.0 0.0
0.147 0.0 0.0
0.148 0.0 0.0
0.149 0.0 0.0
0.15 0.0 0.0
0.151 0.0 0.0
0.152 0.0 0.0
0.153 0.0 0.0
0.154 0.0 0.0
0.155 0.0 0.0
0.156 0.0 0.0
0.157 0.0 0.0
0.158 0.0 0.0
0.159 0.0 0.0
0.16 0.0 0.0
0.161 0.0 0.0
0.162 0.0 0.0
0.163 0.0 0.0
0.164 0.0 0.0
0.165 0.0 0.0
0.166 0.0 0.0
0.167 0.0 0.0
0.168 0.0 0.0
0.169 0.0 0.0
0.17 0.0 0.0
0.171 0.0 0.0
0.17200000000000001 0.0 0.0
0.17300000000000001 0.0 0.0
0.17400000000000002 0.0 0.0
0.17500000000000002 0.0 0.0
0.17600000000000002 0.0 0.0
0.177 0.0 0.0
0.178 0.0 0.0
0.179 0.0 0.0
0.18 0.0 0.0
0.181 0.0 0.0
0.182 0.0 0.0
0.183 0.0 0.0
0.184 0.0 0.0
0.185 0.0 0.0
0.186 0.0 0.0
0.187 0.0 0.0
0.188 0.0 0.0
0.189 0.0 0.0
0.19 0.0 0.0
0.191 0.0 0.0
0.192 0.0 0.0
0.193 0.0 0.0
0.194 0.0 0.0
0.195 0.0 0.0
0.196 0.0 0.0
0.197 0.0 0.0
0.198 0.0 0.0
0.199 0.0 0.0
0.2 0.0 0.0
0.201 0.0 0.0
0.202 2.104275e-318 0.0
0.203 2.3366130415417e-310 3.69955028086e-313
0.20400000000000001 1.7116288840552938e-302 2.9246929629309715e-305
0.20500000000000002 8.350209048692305e-295 1.5379663708003377e-297
0.20600000000000002 2.7382142599293204e-287 5.429712431128937e-290
0.20700000000000002 6.090203483742498e-280 1.2986518810441635e-282
0.20800000000000002 9.268302167734493e-273 2.12282693187185e-275
0.20900000000000002 9.733815745915942e-266 2.392009643872226e-268
0.21 7.113690855804273e-259 1.8735354576391664e-261
0.211 3.6471771893134305e-252 1.0283529095895677e-254
0.212 1.322206570912305e-245 3.986975756096918e-248
0.213 3.415584786305396e-239 1.1003174014453505e-241
0.214 6.334489913208032e-233 2.1778688115222084e-235
0.215 8.49598687843848e-227 3.1143558810754556e-229
0.216 8.299771041641385e-221 3.2406377549058384e-223
0.217 5.946823128193723e-215 2.470832164218344e-217
0.218 3.146381716073107e-209 1.3898099456472824e-211
0.219 1.2374071612931162e-203 5.805534472074695e-206
0.22 3.640697851313614e-198 1.8126221174783317e-200
0.221 8.064066205216392e-193 4.256814796919765e-195
0.222 1.3529453495223425e-187 7.565563255611225e-190
0.223 1.7296450980547186e-182 1.0237120698600073e-184
